roi,bc,tvi,d_eff,mean_atrophy
R_lateralorbitofrontal,0.0144730890999547,2.5923001358426205,7.447646974511127,-0.4546616292866711
R_parsorbitalis,0.0,-2.157735407512185,7.785328448501461,-0.13676119454465588
R_frontalpole,0.0,-1.6336360344145575,5.045464198810469,0.8239325694903717
R_medialorbitofrontal,0.0018091361374943,1.8673766313877684,5.604675448498774,-0.9574571548293932
R_parstriangularis,0.0004522840343735,-1.6309323456981346,5.706801411364888,-0.015996788131966887
R_parsopercularis,0.0,-1.592675373960097,5.611756320837045,-0.006967494599260175
R_rostralmiddlefrontal,0.0465852555404794,3.593947670172964,5.711764397134619,-0.4162121968547593
R_superiorfrontal,0.0800542740841248,7.7956233793455265,5.702564480000133,-0.4131686352984064
R_caudalmiddlefrontal,0.0049751243781094,-1.9232355944926889,5.078638934823294,-0.685142986511764
R_precentral,0.0140208050655811,-0.7114034037936565,5.564840708995185,-0.3016546439877036
R_paracentral,0.0018091361374943,-0.9895417327475,5.326038096890629,-0.09931312888129365
R_rostralanteriorcingulate,0.0,-2.1965175929572847,5.333737468418155,-0.9755786760471823
R_caudalanteriorcingulate,0.0009045680687471,-1.341630041149528,5.236939808685282,0.08192072552292429
R_posteriorcingulate,0.0004522840343735,-2.243402658079788,5.413842097545366,-0.7755650725252466
R_isthmuscingulate,0.0022614201718679,1.1260440531765803,5.362570328297887,-0.8047417158539486
R_postcentral,0.0049751243781094,-1.9507643904672292,5.433858489044047,-0.210883735694976
R_supramarginal,0.0076888285843509,-0.6094483039401201,6.01417761509557,-0.7088826528389046
R_superiorparietal,0.0836725463591135,10.02480594389333,5.222818482073111,-0.7373971903607532
R_inferiorparietal,0.0171867933061962,-0.0191754537949258,6.281544930400749,-1.1300720033213774
R_precuneus,0.0452284034373586,3.30415444654674,5.565741560956413,-0.5977922099263089
R_cuneus,0.0,-2.112512856589527,5.544582547385534,-1.338685602330381
R_pericalcarine,0.0,-1.7782571799354796,5.521347448585265,-0.3423514497143648
R_lateraloccipital,0.0085933966530981,-0.5625220219854782,5.978397286522338,-1.2023094757833999
R_lingual,0.0081411126187245,-0.4921846041844175,5.522324348369518,-0.7647126201160067
R_fusiform,0.0058796924468566,-0.2819588432425701,5.50546229099646,-0.6401160211345552
R_parahippocampal,0.0009045680687471,-2.040383297733003,5.36188418261392,-0.38863391570655564
R_entorhinal,0.0004522840343735,-3.1891410670932547,5.734663922301705,-2.236283579922013
R_temporalpole,0.0009045680687471,-1.7985845895383517,5.90849002258056,0.06688145224797205
R_inferiortemporal,0.0040705563093622,-0.1880592702630656,5.467920159883107,-1.3803551233990012
R_middletemporal,0.0036182722749886,1.1602113399057414,5.663330553351097,-1.3189971702926986
R_bankssts,0.0,-2.730977233829446,7.218992867393263,-0.6974614136352222
R_superiortemporal,0.0117593848937132,0.9788367272671796,5.916001802460546,-0.8252100244829511
R_transversetemporal,0.0,-2.6518884270184087,6.891567491489089,-0.24804068280005076
R_insula,0.0574400723654455,3.895944616448093,6.282088460730502,-0.4417224624069355
L_lateralorbitofrontal,0.0135685210312075,4.02991218618847,4.78442973574913,0.05230931801784434
L_parsorbitalis,0.0,-2.4852120504236903,4.305728733896006,-0.4524482193448424
L_frontalpole,0.0,-1.7993368835517516,4.931275686849126,0.38893427161279015
L_medialorbitofrontal,0.0094979647218453,0.3134967069733619,4.989739813885048,-1.010183707787804
L_parstriangularis,0.0004522840343735,-0.7318707382830996,4.374745647900972,-0.3299370939817169
L_parsopercularis,0.0,-1.7208022360222064,4.566736005489664,-0.46356604059380047
L_rostralmiddlefrontal,0.0533695160560832,2.816730510679816,4.999196795750216,-0.4000500782973105
L_superiorfrontal,0.0836725463591135,6.069025288624195,2.603899886323022,-0.7299625414417144
L_caudalmiddlefrontal,0.0031659882406151,-2.297995008593515,4.970911130489119,-0.3391682608463359
L_precentral,0.0140208050655811,-2.790422024758721,4.750332368677642,-0.24023802332697997
L_paracentral,0.0013568521031207,-2.808132891900517,5.051061944907079,0.09758556458496315
L_rostralanteriorcingulate,0.0,-0.1768494047366886,4.8923591154917325,0.03594485270924414
L_caudalanteriorcingulate,0.0,-1.6676170572263158,4.637469071848716,0.756741417244426
L_posteriorcingulate,0.0,-1.1517889939955488,4.923905257418479,-0.42313218872878916
L_isthmuscingulate,0.0027137042062415,0.5473317900209694,2.4446878215338623,-0.7758522070651862
L_postcentral,0.005427408412483,-2.5895286740130627,4.620985164571595,-0.45455941962301916
L_supramarginal,0.0049751243781094,-0.2267887156575856,4.580461059847212,-0.4852101157055895
L_superiorparietal,0.0610583446404341,5.811716916939735,4.691553890925356,-0.631027546246108
L_inferiorparietal,0.0135685210312075,1.595781219983666,2.8379723852809,-0.54344558476049
L_precuneus,0.0384441429217548,3.5602842203266905,2.4802917356571874,-0.49003417498476837
L_cuneus,0.0004522840343735,-0.1312151884444141,4.824405727297787,-0.806602722170296
L_pericalcarine,0.0,-1.9123003674838992,4.957752490360482,-0.8043666783799032
L_lateraloccipital,0.0153776571687019,-0.5049849268744434,4.632098039099263,-0.7359358287082974
L_lingual,0.0081411126187245,1.5377487444932454,2.59089213299052,-0.8133648532393354
L_fusiform,0.0099502487562189,-1.022805247318168,1.957676486385193,-1.028369335607897
L_parahippocampal,0.0009045680687471,-1.3040427408141326,1.954789866086755,-1.0520120431642324
L_entorhinal,0.0,-1.4842791151757555,0.0,-1.2221528832441693
L_temporalpole,0.0009045680687471,-1.6539384058117177,4.187379348608963,-0.9621293975688917
L_inferiortemporal,0.0081411126187245,1.5700542940971172,2.707024827597324,-1.1019183820771985
L_middletemporal,0.0081411126187245,0.2761555143077104,5.053749482620297,-1.377861747387418
L_bankssts,0.0,-2.358016504822253,4.157438542443358,-0.5100424457753301
L_superiortemporal,0.0122116689280868,1.2391629561959188,2.6095291634861755,-0.8257480110322746
L_transversetemporal,0.0,-3.009637016116643,2.688939700345533,-0.40422359261956975
L_insula,0.0479421076436001,4.947486623627382,1.987422126300335,-0.3725839027323378
