roi,spearman_rho,raw_pval,fdr_pval,significant
R_lateralorbitofrontal,-0.028361184037577536,0.7584695260573044,0.868897154567897,False
R_parsorbitalis,-0.12388094427814395,0.1776447235012278,0.5171115695335579,False
R_frontalpole,-0.08858796810970408,0.3359649935151858,0.634600543306462,False
R_medialorbitofrontal,0.0010331080752588849,0.9910649341925882,0.9910649341925882,False
R_parstriangularis,-0.04644298285214227,0.6144692588958118,0.8387836340184989,False
R_parsopercularis,-0.14541375760056569,0.11303676939326503,0.4595153932134332,False
R_rostralmiddlefrontal,-0.1438245560251354,0.11707079315314509,0.4595153932134332,False
R_superiorfrontal,-0.22449837133454023,0.013698780715924425,0.18116038918278227,False
R_caudalmiddlefrontal,-0.12186876552938775,0.1848462275722509,0.5171115695335579,False
R_precentral,-0.1273157874701427,0.1658316004444991,0.5171115695335579,False
R_paracentral,-0.2297550938939206,0.01159082849561306,0.18116038918278227,False
R_rostralanteriorcingulate,0.10232974849704256,0.26607128659362533,0.5836402415602104,False
R_caudalanteriorcingulate,-0.007217865998069216,0.9376362079165815,0.9660494263382962,False
R_posteriorcingulate,-0.2144901063541677,0.018648863592345234,0.18116038918278227,False
R_isthmuscingulate,-0.1072621042319673,0.2435875914688333,0.5521318739960221,False
R_postcentral,-0.04616445087820848,0.61659627935466,0.8387836340184989,False
R_supramarginal,-0.11594879830067858,0.20726592897824733,0.5171115695335579,False
R_superiorparietal,-0.06769490413269025,0.46255757373980444,0.7671686588855293,False
R_inferiorparietal,-0.14737973448435376,0.10819693878452627,0.4595153932134332,False
R_precuneus,-0.057681556003949634,0.5314609645478209,0.8213487633920867,False
R_cuneus,-0.13957946278277691,0.1283940069272828,0.4595153932134332,False
R_pericalcarine,-0.1633980800044907,0.0745527832915532,0.4066192035907592,False
R_lateraloccipital,-0.03386354915321957,0.7134853817569288,0.8616951458710747,False
R_lingual,-0.03277615433756012,0.722303284038989,0.8616951458710747,False
R_fusiform,-0.11503942298861132,0.21087545096377167,0.5171115695335579,False
R_parahippocampal,0.030603882351808165,0.7400271050870086,0.8676179852744239,False
R_entorhinal,-0.05769360991781116,0.531375038746241,0.8213487633920867,False
R_temporalpole,0.023014590088497256,0.8029690842111068,0.8806757697799236,False
R_inferiortemporal,0.03561184306480626,0.6993874416805828,0.8616951458710747,False
R_middletemporal,-0.0908124889315709,0.3239228933130212,0.6293359070081556,False
R_bankssts,-0.069751290082857,0.4490426039448668,0.7633724267062735,False
R_superiortemporal,-0.09310869916383357,0.31178764419770894,0.6235752883954179,False
R_transversetemporal,-0.016409923393733983,0.8588076983673728,0.9124831795153336,False
R_insula,-0.02667502413479369,0.7724259034518502,0.868897154567897,False
L_lateralorbitofrontal,-0.1126597202100958,0.2205328752422526,0.5171115695335579,False
L_parsorbitalis,-0.2284962712837131,0.012067892481601623,0.18116038918278227,False
L_frontalpole,-0.05959353052074562,0.5179190525334751,0.8213487633920867,False
L_medialorbitofrontal,-0.03369668641436836,0.714836087350356,0.8616951458710747,False
L_parstriangularis,-0.16677345029203983,0.06867352557658715,0.4066192035907592,False
L_parsopercularis,-0.04567040148913611,0.6203769249029469,0.8387836340184989,False
L_rostralmiddlefrontal,-0.18654326993909076,0.04134696431251735,0.3514491966563975,False
L_superiorfrontal,-0.21756614566246324,0.01698466103324744,0.18116038918278227,False
L_caudalmiddlefrontal,-0.11481811379107781,0.21176062886902133,0.5171115695335579,False
L_precentral,-0.16598256050272495,0.0700162044643532,0.4066192035907592,False
L_paracentral,-0.2919186499776074,0.0012159843461625889,0.08268693553905604,False
L_rostralanteriorcingulate,-0.07004747039123868,0.4471144420174408,0.7633724267062735,False
L_caudalanteriorcingulate,-0.025829527894170645,0.7794518592447311,0.868897154567897,False
L_posteriorcingulate,-0.041805209981085126,0.6502909375978306,0.8503804568587017,False
L_isthmuscingulate,-0.17147912268443358,0.06111061118000104,0.4066192035907592,False
L_postcentral,-0.1407056029088838,0.12531136902770937,0.4595153932134332,False
L_supramarginal,-0.12967895404033536,0.15804975007396296,0.5171115695335579,False
L_superiorparietal,-0.11378927757238913,0.2159105108919468,0.5171115695335579,False
L_inferiorparietal,-0.09403904287159684,0.3069562131467011,0.6235752883954179,False
L_precuneus,-0.11632978715588808,0.20576692618210618,0.5171115695335579,False
L_cuneus,-0.1616593769757429,0.07773602421588043,0.4066192035907592,False
L_pericalcarine,-0.2385443597501601,0.008696448963200073,0.18116038918278227,False
L_lateraloccipital,-0.09362422516681737,0.30910435061476943,0.6235752883954179,False
L_lingual,-0.002354428269864541,0.9796389634942749,0.9910649341925882,False
L_fusiform,-0.08132500833622076,0.37723090045250096,0.6750447692307912,False
L_parahippocampal,0.034387143155014385,0.7092528097217493,0.8616951458710747,False
L_entorhinal,-0.04692046977768209,0.6108303552247935,0.8387836340184989,False
L_temporalpole,0.012077688918559756,0.8958351133041716,0.9371813493028257,False
L_inferiortemporal,-0.016680759741175593,0.8565021653441823,0.9124831795153336,False
L_middletemporal,-0.08231122902743246,0.37145330913849944,0.6750447692307912,False
L_bankssts,-0.14758339526194064,0.1077049680506729,0.4595153932134332,False
L_superiortemporal,0.04764682901771396,0.6053129836933377,0.8387836340184989,False
L_transversetemporal,0.05513267053350028,0.5497853381706623,0.8307867332356675,False
L_insula,0.04453697176615044,0.6290877255138742,0.8387836340184989,False
