Cohort,Marginal R2,Conditional R2,Incremental R2 (Interaction)
PPMI,0.06339290029191474,0.07829620043955415,0.0009586367381737987
ADNI AD,0.001646081054128228,0.06142492967557627,0.00031798620084026296
ADNI CN,0.0027402470421280956,0.16302431672216483,0.0003523155287009465
OASIS-3 AD,0.01160902441519207,0.36178923504201727,5.040545706599259e-05
OASIS-3 CN,0.007088206681511464,0.36113965561206685,5.963668720980822e-06
